X Y Z
-33.342226 124.972445 231.290259
-31.441595 125.073855 231.501527
-29.540178 125.168670 231.700630
-27.638021 125.256899 231.887578
-25.735168 125.338549 232.062383
-23.831660 125.413626 232.225051
-21.927543 125.482137 232.375593
-20.022859 125.544088 232.514015
-18.117649 125.599485 232.640324
-16.211957 125.648332 232.754525
-14.305825 125.690635 232.856624
-12.399294 125.726398 232.946625
-10.492407 125.755625 233.024532
-8.585204 125.778318 233.090345
-6.677727 125.794480 233.144068
-4.770018 125.804115 233.185702
-2.862118 125.807225 233.215245
-0.954068 125.803810 233.232698
0.954090 125.793871 233.238058
2.862315 125.777410 233.231323
4.770566 125.754427 233.212491
6.678801 125.724921 233.181555
8.586978 125.688892 233.138513
10.495056 125.646339 233.083357
12.402991 125.597259 233.016082
14.310743 125.541652 232.936679
16.218269 125.479514 232.845140
18.125525 125.410842 232.741457
20.032469 125.335634 232.625620
21.939058 125.253885 232.497617
23.845246 125.165592 232.357438
25.750991 125.070750 232.205069
27.656247 124.969353 232.040498
29.560970 124.861396 231.863712
31.465114 124.746874 231.674695
33.368632 124.625780 231.473431
9.716294 34.295705 63.705559
10.240276 34.258721 63.643356
10.764047 34.219920 63.577766
11.287593 34.179301 63.508784
42.875190 123.921483 230.282835
44.773955 123.760804 230.007731
46.671756 123.593497 229.720253
48.568540 123.419555 229.420379
50.464255 123.238967 229.108088
52.358849 123.051722 228.783357
54.252268 122.857812 228.446163
56.144457 122.657224 228.096482
58.035361 122.449948 227.734290
59.924923 122.235973 227.359562
61.813086 122.015287 226.972272
63.699791 121.787877 226.572394
65.584980 121.553732 226.159901
67.468591 121.312838 225.734766
69.350563 121.065184 225.296961
71.230834 120.810755 224.846458
73.109339 120.549539 224.383228
74.986014 120.281522 223.907242
76.860793 120.006690 223.418470
78.733608 119.725029 222.916882
80.604391 119.436525 222.402448
82.473072 119.141162 221.875136
84.339580 118.838928 221.334915
86.203842 118.529805 220.781754
88.065785 118.213781 220.215621
89.925333 117.890839 219.636483
91.782410 117.560964 219.044308
93.636939 117.224141 218.439063
95.488838 116.880355 217.820716
97.338028 116.529589 217.189234
99.184426 116.171828 216.544582
101.027948 115.807056 215.886728
102.868509 115.435258 215.215639
104.706021 115.056417 214.531280
106.540395 114.670518 213.833618
108.371542 114.277546 213.122621
110.199369 113.877484 212.398253
112.023783 113.470316 211.660482
113.844687 113.056027 210.909274
115.661986 112.634601 210.144597
117.475580 112.206024 209.366416
119.285369 111.770278 208.574700
-119.425842 111.159979 208.820323
-117.619282 111.575546 209.622523
-115.808796 111.983900 210.411333
-113.994481 112.385058 211.186783
-112.176432 112.779038 211.948901
-110.354742 113.165858 212.697719
-108.529502 113.545537 213.433264
-106.700803 113.918091 214.155568
-104.868732 114.283540 214.864659
-103.033377 114.641900 215.560567
-101.194822 114.993191 216.243321
-99.353152 115.337429 216.912952
-97.508447 115.674632 217.569488
-95.660790 116.004818 218.212959
-93.810260 116.328005 218.843393
-91.956934 116.644209 219.460818
-90.100889 116.953449 220.065265
-88.242199 117.255740 220.656760
-86.380940 117.551101 221.235331
-84.517184 117.839548 221.801007
-82.651001 118.121098 222.353814
-80.782462 118.395766 222.893779
-78.911635 118.663569 223.420928
-77.038589 118.924523 223.935289
-75.163390 119.178644 224.436885
-73.286103 119.425947 224.925744
-71.406793 119.666448 225.401888
-69.525521 119.900161 225.865343
-67.642352 120.127101 226.316133
-65.757346 120.347282 226.754279
-63.870563 120.560719 227.179806
-61.982061 120.767425 227.592735
-60.091901 120.967414 227.993088
-58.200138 121.160699 228.380886
-56.306830 121.347293 228.756148
-54.412031 121.527208 229.118896
-52.515797 121.700457 229.469148
-50.618183 121.867052 229.806922
-48.719240 122.027003 230.132236
-46.819023 122.180323 230.445108
-44.917582 122.327021 230.745554
-43.014969 122.467109 231.033590
-41.111235 122.600597 231.309230
-39.206429 122.727493 231.572491
-37.300602 122.847808 231.823384
-35.393801 122.961549 232.061923
-33.486076 123.068727 232.288121
-31.577474 123.169349 232.501988
-29.668042 123.263422 232.703537
-27.757828 123.350955 232.892776
-25.846878 123.431953 233.069715
-23.935239 123.506424 233.234362
-22.022956 123.574373 233.386726
-20.110075 123.635807 233.526813
-18.196642 123.690730 233.654629
-16.282700 123.739147 233.770180
-14.368296 123.781064 233.873471
-12.453474 123.816483 233.964505
-10.538278 123.845409 234.043285
-8.622753 123.867845 234.109814
-6.706943 123.883793 234.164093
-4.790892 123.893257 234.206123
-2.874644 123.896237 234.235904
-0.958244 123.892736 234.253435
0.958265 123.882754 234.258714
2.874838 123.866292 234.251738
4.791431 123.843351 234.232505
6.708000 123.813931 234.201011
8.624500 123.778030 234.157249
10.540887 123.735647 234.101216
12.457115 123.686783 234.032904
14.373140 123.631434 233.952306
16.288916 123.569598 233.859414
18.204398 123.501273 233.754220
20.119539 123.426456 233.636714
22.034295 123.345143 233.506885
23.948617 123.257331 233.364723
25.862460 123.163015 233.210216
27.775775 123.062191 233.043351
29.688515 122.954854 232.864115
31.600631 122.840998 232.672494
33.512075 122.720617 232.468473
35.422797 122.593706 232.252037
37.332747 122.460258 232.023170
39.241876 122.320266 231.781854
41.150130 122.173723 231.528072
43.057460 122.020621 231.261807
44.963811 121.860952 230.983038
46.869132 121.694709 230.691747
48.773368 121.521882 230.387914
50.676464 121.342462 230.071517
52.578364 121.156441 229.742535
54.479013 120.963808 229.400946
56.378354 120.764555 229.046728
58.276327 120.558670 228.679857
60.172875 120.346143 228.300309
62.067936 120.126964 227.908060
63.961451 119.901121 227.503086
65.853357 119.668603 227.085360
67.743592 119.429399 226.654858
69.632091 119.183496 226.211552
71.518789 118.930883 225.755416
73.403621 118.671548 225.286422
75.286518 118.405478 224.804544
77.167413 118.132660 224.309752
79.046236 117.853081 223.802019
80.922915 117.566729 223.281316
82.797380 117.273590 222.747613
84.669555 116.973651 222.200881
86.539368 116.666898 221.641090
88.406741 116.353318 221.068210
90.271598 116.032896 220.482212
92.133860 115.705619 219.883064
93.993446 115.371473 219.270735
95.850276 115.030444 218.645196
97.704265 114.682517 218.006415
99.555331 114.327679 217.354360
101.403386 113.965915 216.689002
103.248344 113.597211 216.010308
105.090115 113.221553 215.318248
106.928609 112.838926 214.612789
108.763734 112.449317 213.893902
110.595396 112.052711 213.161555
112.423499 111.649094 212.415717
114.247948 111.238452 211.656357
116.068642 110.820771 210.883444
117.885482 110.396038 210.096949
119.698366 109.964238 209.296840
-119.836320 109.352911 209.538057
-118.026617 109.764448 210.348481
-116.212841 110.168871 211.145437
-114.395089 110.566194 211.928951
-112.573457 110.956436 212.699050
