X Y Z
-118.001478 117.169433 206.329772
-116.201522 117.616097 207.095775
-114.398224 118.055298 207.848485
-112.591679 118.487058 208.587945
-110.781983 118.911396 209.314195
-108.969226 119.328335 210.027275
-107.153499 119.737895 210.727227
-105.334891 120.140097 211.414091
-103.513487 120.534963 212.087908
-101.689373 120.922512 212.748719
-99.862633 121.302766 213.396564
-98.033346 121.675746 214.031484
-96.201593 122.041472 214.653518
-94.367451 122.399965 215.262707
-92.530997 122.751244 215.859090
-90.692306 123.095331 216.442706
-88.851450 123.432246 217.013595
-87.008501 123.762007 217.571796
-85.163528 124.084636 218.117346
-83.316602 124.400151 218.650283
-81.467787 124.708571 219.170646
-79.617151 125.009916 219.678470
-77.764757 125.304204 220.173793
-75.910667 125.591453 220.656651
-74.054944 125.871682 221.127079
-72.197647 126.144909 221.585112
-70.338835 126.411151 222.030785
-68.478566 126.670425 222.464131
-66.616895 126.922748 222.885184
-64.753879 127.168137 223.293977
-62.889572 127.406607 223.690541
-61.024025 127.638175 224.074908
-59.157291 127.862857 224.447109
-57.289420 128.080666 224.807174
-55.420463 128.291618 225.155131
-53.550467 128.495728 225.491010
-51.679480 128.693008 225.814838
-49.807550 128.883472 226.126643
-47.934722 129.067133 226.426451
-46.061040 129.244005 226.714287
-44.186550 129.414098 226.990176
-42.311293 129.577425 227.254143
-40.435314 129.733996 227.506210
-38.558652 129.883824 227.746400
-36.681350 130.026917 227.974734
-34.803448 130.163285 228.191234
-32.924985 130.292939 228.395918
-31.046001 130.415886 228.588806
-29.166533 130.532136 228.769917
-27.286620 130.641695 228.939267
-25.406299 130.744572 229.096872
-23.525607 130.840773 229.242749
-21.644580 130.930305 229.376911
-19.763254 131.013173 229.499373
-17.881664 131.089382 229.610148
-15.999846 131.158939 229.709246
-14.117834 131.221846 229.796680
-12.235662 131.278107 229.872458
-10.353366 131.327726 229.936591
-8.470978 131.370706 229.989087
-6.588533 131.407048 230.029952
-4.706063 131.436755 230.059193
-2.823602 131.459827 230.076816
-0.941183 131.476265 230.082824
0.941160 131.486069 230.077222
2.823396 131.489238 230.060011
4.705490 131.485772 230.031194
6.587410 131.475668 229.990771
8.469124 131.458925 229.938742
10.350597 131.435540 229.875105
12.231798 131.405510 229.799859
14.112693 131.368831 229.712999
15.993248 131.325499 229.614524
17.873431 131.275508 229.504426
19.753207 131.218854 229.382700
21.632542 131.155530 229.249340
23.511403 131.085531 229.104338
25.389755 131.008849 228.947684
27.267563 130.925476 228.779369
29.144792 130.835405 228.599383
31.021406 130.738627 228.407714
32.897369 130.635133 228.204349
34.772646 130.524913 227.989276
36.647199 130.407958 227.762480
38.520990 130.284256 227.523946
40.393981 130.153796 227.273658
42.266135 130.016568 227.011599
44.137412 129.872557 226.737751
46.007771 129.721753 226.452096
47.877174 129.564141 226.154614
49.745577 129.399709 225.845285
51.612940 129.228441 225.524088
53.479220 129.050324 225.191001
55.344372 128.865342 224.846001
57.208354 128.673480 224.489064
59.071119 128.474721 224.120166
